Term,Section,Acronym,Definition EN,Definition FR,Tooltip EN,Tooltip FR,,
Climate Adaptation and Mitigation Initiative,Core Atlas Framework,AIM,A CGIAR initiative that supports coordinated research and investment to help countries adapt agriculture to climate change while reducing emissions,Une initiative du CGIAR qui soutient la recherche et les investissements coordonnés pour aider les pays à adapter leur agriculture au changement climatique tout en réduisant les émissions,CGIAR initiative linking adaptation and mitigation science,Initiative du CGIAR reliant la science de l’adaptation et de l’atténuation,,
Accelerating Impacts of CGIAR Climate Research for Africa,Core Atlas Framework,AICCRA,A program that scales climate-smart agriculture and climate services across Africa by connecting research outputs with development users,Un programme qui étend l’agriculture climato-intelligente et les services climatiques à travers l’Afrique en reliant les résultats de la recherche aux utilisateurs du développement,Program linking CGIAR climate research to African action,Programme reliant la recherche climatique du CGIAR à l’action en Afrique,,
"Climate Change, Agriculture and Food Security",Core Atlas Framework,CCAFS,A former CGIAR research program that pioneered integration of climate information into agricultural planning,Un ancien programme de recherche du CGIAR qui a été pionnier dans l’intégration des informations climatiques à la planification agricole,Legacy CGIAR program on climate and agriculture,Ancien programme du CGIAR sur le climat et l’agriculture,,
Atlas Framework,Core Atlas Framework,,"The overall structure of datasets, notebooks, and tools that make up the Adaptation Atlas, defining how data is stored, analyzed, and visualized","La structure générale des jeux de données, notebooks et outils qui composent l’Adaptation Atlas, définissant comment les données sont stockées, analysées et visualisées",The backbone linking all Atlas data and tools,L’infrastructure centrale reliant toutes les données et outils de l’Atlas,,
Adaptation Pathways,Core Atlas Framework,,Sequences of actions and investments that help countries or communities move from current conditions toward greater climate resilience,Des séquences d’actions et d’investissements qui aident les pays ou les communautés à passer des conditions actuelles à une plus grande résilience climatique,Steps that guide progress toward resilience,Les étapes guidant le progrès vers la résilience,,
Climate-Smart Agriculture,Core Atlas Framework,CSA,"An approach to farming that increases productivity, strengthens resilience, and reduces emissions under changing climates","Une approche agricole qui augmente la productivité, renforce la résilience et réduit les émissions dans un climat en évolution","Farming for productivity, resilience, and lower emissions","Agriculture visant la productivité, la résilience et la réduction des émissions",,
Adaptation Planning,Core Atlas Framework,,The process of identifying and prioritizing actions to manage and prepare for climate risks within national or local strategies,Le processus d’identification et de hiérarchisation des actions permettant de gérer et de se préparer aux risques climatiques dans les stratégies nationales ou locales,Planning how to respond to climate risks,Planification de la réponse aux risques climatiques,,
Adaptation Strategies,Core Atlas Framework,,Specific approaches or actions taken to reduce climate vulnerability and build adaptive capacities,Des approches ou actions spécifiques mises en œuvre pour réduire la vulnérabilité climatique et renforcer les capacités d’adaptation,Actions that reduce vulnerability to climate change,Actions réduisant la vulnérabilité au changement climatique,,
Adaptation Investments,Core Atlas Framework,,"Financial or policy commitments made to support adaptation solutions, e.g. in agriculture and food systems","Des engagements financiers ou politiques visant à soutenir des solutions d’adaptation, par exemple dans les systèmes agricoles et alimentaires",Funding directed toward climate adaptation,Financement destiné à l’adaptation au climat,,
Decision Support Tools,Core Atlas Framework,,"Digital tools that help different audiences, e.g. policy-makers, communities, and investors, in identifying suitable adaptation options, assessing risk, and making data-driven decisions","Des outils numériques qui aident différents publics – décideurs, communautés ou investisseurs – à identifier les options d’adaptation, évaluer les risques et prendre des décisions fondées sur les données",Tools that turn data into actionable insights,Outils transformant les données en informations exploitables,,
Use Cases,Core Atlas Framework,,Real-world examples showing how Atlas data and tools are applied to support decision-making,Des exemples concrets montrant comment les données et outils de l’Atlas sont utilisés pour soutenir la prise de décision,Practical examples of Atlas in action,Exemples concrets de l’Atlas en action,,
Interactive Notebooks,Core Atlas Framework,,"Web-based analytical deep-dives around specific thematic clusters that allow user to explore, visualize, and download Atlas data interactively","Des analyses web interactives centrées sur des thématiques spécifiques permettant d’explorer, de visualiser et de télécharger les données de l’Atlas",Online apps for exploring Atlas data,Applications en ligne pour explorer les données de l’Atlas,,
Open Data Platform,Core Atlas Framework,,"The digital infrastructure the Atlas relies on, providing public access to datasets, code, and documentation","L’infrastructure numérique sur laquelle repose l’Atlas, offrant un accès public aux jeux de données, au code et à la documentation",Shared space where Atlas data are openly available,Espace partagé où les données de l’Atlas sont librement accessibles,,
Spatio-Temporal Asset Catalogue,Core Atlas Framework,STAC,A metadata standard used by the Atlas to organize and access geospatial datasets through APIs (Application Programming Interfaces),Un standard de métadonnées utilisé par l’Atlas pour organiser et accéder aux jeux de données géospatiales via des APIs (Application Programming Interfaces),Open standard for indexing Atlas geodata,Norme ouverte pour l’indexation des géodonnées de l’Atlas,,
Geospatial Data Infrastructure,Core Atlas Framework,,"The cloud and database systems that store, serve, and manage spatial datasets within the Atlas","Les systèmes cloud et bases de données qui stockent, diffusent et gèrent les jeux de données spatiales au sein de l’Atlas",The technical backbone of Atlas maps and data,Infrastructure technique des cartes et données de l’Atlas,,
Knowledge Platform,Core Atlas Framework,,"The collection of Atlas notebooks, resources, and datasets that enable evidence-based climate decisions","L’ensemble des notebooks, ressources et jeux de données de l’Atlas qui permettent de prendre des décisions climatiques fondées sur des preuves","Hub for data, tools, and learning","Centre pour les données, outils et apprentissages",,
Atlas Explorer,Core Atlas Framework,,"The main user interface that lets users view maps, filter data, and compare regions in the Atlas","L’interface principale qui permet aux utilisateurs de visualiser des cartes, filtrer les données et comparer les régions dans l’Atlas",Main Atlas map interface,Interface cartographique principale de l’Atlas,,
Data Notebooks,Core Atlas Framework,,"The interactive Atlas notebooks that focus on specific datasets, analyses, and topics","Les notebooks interactifs de l’Atlas qui se concentrent sur des jeux de données, analyses et thématiques spécifiques",Notebooks exploring key datasets,Notebooks explorant les ensembles de données clés,,
Custom Notebooks,Core Atlas Framework,,Adapted and modified versions of Atlas notebooks tailored to a partner’s data or policy needs,"Des versions adaptées ou modifiées des notebooks de l’Atlas, conçues selon les besoins en données ou en politiques d’un partenaire",Partner-specific Atlas notebooks,Notebooks de l’Atlas spécifiques aux partenaires,,
Analytical Tools,Core Atlas Framework,,"Models and algorithms that generate Atlas indicators such as hazards, exposure, or adaptive capacity","Des modèles et algorithmes qui génèrent les indicateurs de l’Atlas tels que les aléas, l’exposition ou la capacité d’adaptation",Core methods behind Atlas indicators,Méthodes principales derrière les indicateurs de l’Atlas,,
Evidence for Resilient Agriculture,Core Atlas Framework,ERA,A CGIAR database and analytical framework that compiles evidence from thousands of agricultural and livestock experiments to understand which practices build resilience,Une base de données et un cadre analytique du CGIAR qui rassemblent les preuves issues de milliers d’expériences agricoles et d’élevage pour comprendre quelles pratiques renforcent la résilience,Global dataset linking farm practices with outcomes,Jeu de données mondial reliant les pratiques agricoles aux résultats,,
Atlas Instance,Core Atlas Framework,,"A deployed or customized version of the Atlas platform designed for a specific region, country, or partner use case","Une version déployée ou personnalisée de la plateforme Atlas conçue pour une région, un pays ou un cas d’usage spécifique",A country- or partner-specific version of the Atlas,Version de l’Atlas spécifique à un pays ou à un partenaire,,
Climate Risk,Climate & Environmental Data,,"The combination of climate hazards, exposure, and adaptive capacity that determines potential harm to people, assets, or ecosystems","La combinaison des aléas climatiques, de l’exposition et de la capacité d’adaptation qui détermine les dommages potentiels pour les populations, les biens ou les écosystèmes",Overall threat from climate impacts,Menace globale des impacts climatiques,,
Climate Hazard,Climate & Environmental Data,,"A specific climate-related event or trend such as drought, heat, or flooding that can negatively affect agriculture, ecosystems, or livelihoods","Un événement ou une tendance climatique spécifique comme la sécheresse, la chaleur ou les inondations, pouvant affecter négativement l’agriculture, les écosystèmes ou les moyens de subsistance",Events like droughts or floods affecting farming,Événements tels que les sécheresses ou inondations affectant l’agriculture,,
Climate Scenario,Climate & Environmental Data,,A modeled description of how climate variables such as temperature and rainfall may change in future scenarios under different assumptions about emissions,Une description modélisée des changements possibles des variables climatiques comme la température ou les précipitations dans différents scénarios futurs selon diverses hypothèses d’émissions,Simulated future climate patterns,Modélisations des schémas climatiques futurs,,
Representative Concentration Pathway,Climate & Environmental Data,RCP,One of several standardized greenhouse gas concentration trajectories used to model future climate conditions,L’un des plusieurs scénarios standardisés de concentration de gaz à effet de serre utilisés pour modéliser les conditions climatiques futures,Scenario describing possible emission levels,Scénario décrivant les niveaux possibles d’émissions,,
Shared Socioeconomic Pathway,Climate & Environmental Data,SSP,"Socioeconomic storylines that describe how global population, economy, and technology might evolve alongside climate change","Des récits socio-économiques décrivant comment la population mondiale, l’économie et la technologie pourraient évoluer parallèlement au changement climatique",Alternative futures of global development,Futurs alternatifs du développement mondial,,
Climate Projections,Climate & Environmental Data,,"Data showing how climate conditions are projected to change over coming decades, produced by global or regional models","Des données montrant comment les conditions climatiques devraient évoluer au cours des prochaines décennies, produites par des modèles mondiaux ou régionaux",Maps and data of expected climate change,Cartes et données du changement climatique attendu,,
Baseline Climate,Climate & Environmental Data,,A reference period of observed weather used to compare current or future climate conditions,Une période de référence d’observations météorologiques utilisée pour comparer les conditions climatiques actuelles ou futures,Standard baseline for climate comparison,Référence standard pour la comparaison climatique,,
Future Climate Scenarios,Climate & Environmental Data,,"Climate projections describing possible future states of temperature, rainfall, and related variables","Des projections climatiques décrivant les états possibles futurs de la température, des précipitations et d’autres variables associées",Modeled outlooks of future climates,Perspectives climatiques futures modélisées,,
Temperature Anomaly,Climate & Environmental Data,,The difference between current or projected temperature and a long-term baseline average,La différence entre la température actuelle ou projetée et une moyenne de référence à long terme,Change in temperature compared to normal,Changement de température par rapport à la normale,,
Rainfall Anomaly,Climate & Environmental Data,,The difference between current or projected rainfall and a long-term baseline average,La différence entre les précipitations actuelles ou projetées et une moyenne de référence à long terme,Change in rainfall compared to normal,Changement des précipitations par rapport à la normale,,
Precipitation Variability,Climate & Environmental Data,,The extent to which rainfall amounts fluctuate from year to year or season to season,Le degré auquel la quantité de précipitations varie d’une année ou d’une saison à l’autre,Measure of rainfall variability,Mesure de la variabilité des précipitations,,
Drought Frequency,Climate & Environmental Data,,The number or likelihood of drought events over a given period,Le nombre ou la probabilité d’événements de sécheresse sur une période donnée,Frequency of dry spells or shortages,Fréquence des périodes sèches ou pénuries,,
Extreme Events,Climate & Environmental Data,,"Unusual or severe weather events that lie outside typical historical patterns, such as storms or heatwaves","Des événements météorologiques inhabituels ou extrêmes qui sortent des schémas historiques typiques, tels que les tempêtes ou les vagues de chaleur",Rare or severe climate events,Événements climatiques rares ou extrêmes,,
Flood Risk,Climate & Environmental Data,,The probability or expected severity of flooding in a location,La probabilité ou la gravité attendue d’une inondation en un lieu donné,Likelihood or impact of floods,Probabilité ou impact des inondations,,
Heat Stress,Climate & Environmental Data,,"The degree of temperature stress experienced by crops, livestock, or people during heat events","Le degré de stress thermique subi par les cultures, le bétail ou les populations lors d’épisodes de chaleur",Stress from excessive heat,Stress causé par une chaleur excessive,,
Water Stress,Climate & Environmental Data,,"The level to which limited water availability constrains crops, ecosystems, or livelihoods","Le niveau auquel la disponibilité limitée en eau contraint les cultures, les écosystèmes ou les moyens de subsistance",Shortage of water affecting systems,Pénurie d’eau affectant les systèmes,,
Agroecological Zone,Climate & Environmental Data,AEZ,"A classification of land based on climate, soil, and terrain factors that influence agricultural potential","Une classification des terres fondée sur le climat, les sols et le relief, qui influence le potentiel agricole",Zone defining where crops grow best,Zone définissant où les cultures poussent le mieux,,
Ecoregions,Climate & Environmental Data,,"Broad ecological regions defined by shared climate, vegetation, and geography","De grandes régions écologiques définies par un climat, une végétation et une géographie communes",Large natural zones such as savannas or forests,Grandes zones naturelles telles que savanes ou forêts,,
Climate Exposure,Climate & Environmental Data,,"The degree to which people, crops, or assets are likely to experience or be affected by climate hazards","Le degré auquel les populations, les cultures ou les biens sont susceptibles d’être exposés ou affectés par des aléas climatiques",How much a system is exposed to climate risks,Degré d’exposition d’un système aux risques climatiques,,
Hazard Index,Climate & Environmental Data,,A combined metric that summarizes the intensity or frequency of multiple climate hazards in one score,Un indicateur combiné qui résume l’intensité ou la fréquence de plusieurs aléas climatiques en un seul score,Composite measure of climate hazard levels,Indicateur composite du niveau des aléas climatiques,,
Agricultural Productivity,Agricultural Systems & Sectors,,"The amount of agricultural output produced per unit of land, labor, or input, reflecting efficiency and performance","La quantité de production agricole obtenue par unité de terre, de travail ou d’intrant, reflétant l’efficacité et la performance",Measure of how productive agriculture is,Mesure de la productivité agricole,,
Smallholder Systems,Agricultural Systems & Sectors,,"Farming systems managed by small-scale producers, often focused on subsistence or local markets","Des systèmes agricoles gérés par de petits producteurs, souvent orientés vers la subsistance ou les marchés locaux",Farms run by smallholders for local livelihoods,Exploitations familiales gérées par de petits producteurs,,
Cropping Systems,Agricultural Systems & Sectors,,The patterns and combinations of crops grown within a farming area or season,Les schémas et combinaisons de cultures cultivées dans une zone ou une saison donnée,How crops are organized and rotated in farms,Organisation et rotation des cultures dans les exploitations,,
Livelihood Zones,Agricultural Systems & Sectors,,"Geographic areas where people share similar sources of income, food, and vulnerability","Des zones géographiques où les populations partagent des sources de revenu, d’alimentation et de vulnérabilité similaires",Regions defined by livelihoods and income sources,Régions définies par les moyens de subsistance et les sources de revenu,,
Agro-Ecosystems,Agricultural Systems & Sectors,,"Integrated systems combining crops, livestock, trees, and water that interact within an ecological unit","Des systèmes intégrés combinant cultures, élevage, arbres et eau au sein d’une même unité écologique",Linked crop–livestock–environment systems,"Systèmes intégrant cultures, élevage et environnement",,
Livestock Systems,Agricultural Systems & Sectors,,"Production systems centered on raising animals for food, income, or labor","Des systèmes de production centrés sur l’élevage d’animaux pour l’alimentation, le revenu ou le travail",Systems focused on livestock production,Systèmes axés sur la production animale,,
Farming Systems,Agricultural Systems & Sectors,,"The combination of crops, livestock, and management practices used within a defined agricultural context","La combinaison de cultures, d’élevage et de pratiques de gestion utilisées dans un contexte agricole défini",The overall organization of a farm or production unit,Organisation globale d’une exploitation ou unité de production,,
Agri-Food Systems,Agricultural Systems & Sectors,,"The full network from production to consumption covering farming, processing, transport, and trade","L’ensemble du réseau allant de la production à la consommation, couvrant l’agriculture, la transformation, le transport et le commerce",Entire chain from farm to fork,Chaîne complète du producteur au consommateur,,
Value Chains,Agricultural Systems & Sectors,,"The economic and logistical connections that move agricultural goods and services through production, processing, and markets","Les connexions économiques et logistiques qui acheminent les biens et services agricoles à travers la production, la transformation et les marchés",Links that move products from producers to consumers,Liens assurant le transport des produits du producteur au consommateur,,
Land Use,Agricultural Systems & Sectors,,"The management and allocation of land for agriculture, forestry, settlements, and conservation","La gestion et l’affectation des terres pour l’agriculture, la foresterie, les établissements humains et la conservation",How land is used and managed,Utilisation et gestion des terres,,
Soil Fertility,Agricultural Systems & Sectors,,The nutrient status and biological health of soils that support plant growth and yield,L’état nutritif et la santé biologique des sols qui soutiennent la croissance et le rendement des plantes,Measure of how fertile and productive soil is,Mesure de la fertilité et de la productivité du sol,,
Irrigation Potential,Agricultural Systems & Sectors,,The estimated capacity of land and water systems to support expanded irrigation,La capacité estimée des terres et systèmes hydriques à soutenir une irrigation accrue,Potential to increase irrigated farming,Potentiel d’augmentation de l’irrigation agricole,,
Water Resources,Agricultural Systems & Sectors,,"The availability, quality, and distribution of surface and groundwater used for agriculture and ecosystems","La disponibilité, la qualité et la répartition des eaux de surface et souterraines utilisées pour l’agriculture et les écosystèmes",Supply and condition of water resources,Disponibilité et état des ressources en eau,,
Crop Yields,Agricultural Systems & Sectors,,The amount of crop output harvested per unit of area under cultivation,La quantité de production récoltée par unité de surface cultivée,Quantity of crops produced per hectare,Quantité de récolte produite par hectare,,
Fisheries,Agricultural Systems & Sectors,,The management and harvesting of fish and aquatic organisms for food and livelihoods,La gestion et la récolte des poissons et organismes aquatiques pour l’alimentation et les moyens de subsistance,Capture or culture of fish for production,Capture ou élevage de poissons pour la production,,
Forestry,Agricultural Systems & Sectors,,"The management of forest resources for timber, fuel, carbon storage, and ecosystem services","La gestion des ressources forestières pour le bois, le combustible, le stockage du carbone et les services écosystémiques",Sustainable use and conservation of forests,Utilisation durable et conservation des forêts,,
Pastoralism,Agricultural Systems & Sectors,,Livelihood systems based on the grazing and management of livestock in arid or semi-arid regions,Des systèmes de subsistance fondés sur le pâturage et la gestion du bétail dans des zones arides ou semi-arides,Herd-based livelihood system in drylands,Système de subsistance basé sur l’élevage en zones arides,,
Vulnerability,Adaptation & Resilience Indicators,,The degree to which a system or population is susceptible to harm from climate hazards due to exposure and sensitivity,Le degré auquel un système ou une population est vulnérable aux aléas climatiques en raison de son exposition et de sa sensibilité,How prone something is to climate damage,Degré de sensibilité aux dommages climatiques,,
Exposure,Adaptation & Resilience Indicators,,"The degree to which people, assets, or systems are exposed to climate hazards such as droughts, floods, or heatwaves","Le degré auquel les personnes, les biens ou les systèmes sont exposés à des aléas climatiques tels que les sécheresses, les inondations ou les vagues de chaleur",How much is at risk from climate hazards,Degré de risque lié aux aléas climatiques,,
Sensitivity,Adaptation & Resilience Indicators,,"The extent to which a system or group is affected by climate stress, based on its characteristics or conditions","La mesure dans laquelle un système ou un groupe est affecté par les pressions climatiques, selon ses caractéristiques ou conditions propres",How strongly something responds to climate stress,Degré de réaction face au stress climatique,,
Adaptive Capacity,Adaptation & Resilience Indicators,,"The ability of people, institutions, or ecosystems to adjust, cope, or transform in response to climate change","La capacité des personnes, des institutions ou des écosystèmes à s’ajuster, à faire face ou à se transformer en réponse au changement climatique",Capacity to adapt or recover from shocks,Capacité à s’adapter ou à se rétablir après un choc,,
Resilience Index,Adaptation & Resilience Indicators,,"A composite measure summarizing exposure, sensitivity, and adaptive capacity to indicate overall resilience","Une mesure composite qui résume l’exposition, la sensibilité et la capacité d’adaptation pour indiquer la résilience globale",Combined score showing strength to withstand shocks,Score combiné montrant la capacité à résister aux chocs,,
Resilience Pathways,Adaptation & Resilience Indicators,,A sequence of steps or strategies that strengthen resilience over time through adaptation and learning,Une séquence d’étapes ou de stratégies qui renforcent la résilience au fil du temps grâce à l’adaptation et à l’apprentissage,Planned route toward greater resilience,Feuille de route planifiée vers une plus grande résilience,,
Socioeconomic Resilience,Adaptation & Resilience Indicators,,The capacity of economies or social systems to absorb shocks and maintain wellbeing under climate stress,La capacité des économies ou des systèmes sociaux à absorber les chocs et à maintenir le bien-être en situation de stress climatique,Economic and social strength to recover from shocks,Solidité économique et sociale face aux chocs,,
Livelihood Resilience,Adaptation & Resilience Indicators,,The ability of households or communities to maintain and rebuild livelihoods after climate disruptions,La capacité des ménages ou des communautés à maintenir et à reconstruire leurs moyens de subsistance après des perturbations climatiques,Strength of livelihoods to recover after climate shocks,Résilience des moyens de subsistance après des chocs climatiques,,
Risk Index,Adaptation & Resilience Indicators,,"A single value that integrates hazard, exposure, and vulnerability to represent overall climate risk","Une valeur unique qui intègre les aléas, l’exposition et la vulnérabilité pour représenter le risque climatique global",Combined measure of total climate threat,Mesure combinée de la menace climatique totale,,
Adaptation Benefits,Adaptation & Resilience Indicators,,"The positive outcomes of adaptation, such as reduced losses, improved yields, or higher resilience","Les résultats positifs de l’adaptation, tels que la réduction des pertes, l’amélioration des rendements ou le renforcement de la résilience",Gains achieved from adapting to climate risks,Résultats positifs obtenus grâce à l’adaptation au climat,,
Adaptation Costs,Adaptation & Resilience Indicators,,"The financial, human, or material resources required to implement adaptation actions","Les ressources financières, humaines ou matérielles nécessaires à la mise en œuvre des actions d’adaptation",What it takes to adapt,Ce qui est nécessaire pour s’adapter,,
Cost-Benefit Ratio,Adaptation & Resilience Indicators,,"The ratio comparing total benefits of adaptation to the costs incurred, showing cost-effectiveness","Le ratio comparant les bénéfices totaux de l’adaptation aux coûts engagés, illustrant la rentabilité des interventions",Measure of value gained for money spent,Mesure de la valeur obtenue pour l’argent dépensé,,
Economic Returns,Adaptation & Resilience Indicators,,"The gains in income, productivity, or wellbeing that result from adaptation investments","Les gains de revenu, de productivité ou de bien-être résultant des investissements en adaptation",Profit or improvement achieved through adaptation,Bénéfice ou amélioration obtenus grâce à l’adaptation,,
Benefit-Cost Analysis,Adaptation & Resilience Indicators,BCA,A systematic method for comparing adaptation costs and benefits to guide investment decisions,Une méthode systématique permettant de comparer les coûts et bénéfices de l’adaptation afin d’orienter les décisions d’investissement,Way to judge if adaptation is economically worthwhile,Façon d’évaluer si l’adaptation est économiquement viable,,
Adaptation Options,Adaptation & Resilience Indicators,,The range of possible actions available to reduce vulnerability or manage climate risks,L’éventail des actions possibles pour réduire la vulnérabilité ou gérer les risques climatiques,Available ways to adapt to climate change,Options disponibles pour s’adapter au changement climatique,,
Adaptation Interventions,Adaptation & Resilience Indicators,,"Concrete projects, technologies, or practices applied to reduce vulnerability and build resilience","Des projets, technologies ou pratiques concrètes appliquées pour réduire la vulnérabilité et renforcer la résilience",Practical actions taken to adapt,Actions concrètes entreprises pour s’adapter,,
Resilience Indicators,Adaptation & Resilience Indicators,,"Quantitative or qualitative metrics used to measure resilience in systems, sectors, or communities","Des indicateurs quantitatifs ou qualitatifs utilisés pour mesurer la résilience dans les systèmes, secteurs ou communautés",Measures showing how resilient something is,Indicateurs mesurant la résilience,,
Development Indicators,Adaptation & Resilience Indicators,,"Broad indicators tracking progress in economic, social, and environmental development","Des indicateurs globaux suivant les progrès du développement économique, social et environnemental",Measures of wider human and economic progress,Indicateurs du progrès humain et économique plus large,,
Climate Impact Indicators,Adaptation & Resilience Indicators,,"Indicators showing how climate change affects systems, sectors, or livelihoods","Des indicateurs montrant comment le changement climatique affecte les systèmes, les secteurs ou les moyens de subsistance",Measures of climate-related impacts,Indicateurs des impacts liés au climat,,
Socioeconomic Indicators,Adaptation & Resilience Indicators,,"Indicators that capture social and economic conditions shaping vulnerability and resilience, such as food security and livelihood diversification","Des indicateurs reflétant les conditions sociales et économiques qui influencent la vulnérabilité et la résilience, comme la sécurité alimentaire ou la diversification des moyens de subsistance",Measures of wellbeing and adaptive potential,Indicateurs du bien-être et du potentiel adaptatif,,
Adaptive Pathways,Adaptation & Resilience Indicators,,"Flexible, phased adaptation strategies that evolve with changing climate conditions and information",Des stratégies d’adaptation flexibles et progressives qui évoluent selon les conditions climatiques et les informations disponibles,Dynamic plans for adapting over time,Plans dynamiques d’adaptation dans le temps,,
Adaptive Capacity Metric,Adaptation & Resilience Indicators,,"A quantitative indicator that measures the ability of a system, community, or region to adapt to climate change","Un indicateur quantitatif mesurant la capacité d’un système, d’une communauté ou d’une région à s’adapter au changement climatique",Numeric measure of adaptive capacity,Mesure numérique de la capacité d’adaptation,,
Geospatial Layers,Data & Technical Infrastructure,,"Digital map layers containing spatial information such as climate, soils, or socioeconomic data","Des couches cartographiques numériques contenant des informations spatiales telles que les données climatiques, pédologiques ou socio-économiques",Map-based datasets used in the Atlas,Jeux de données cartographiques utilisés dans l’Atlas,,
Raster Data,Data & Technical Infrastructure,,"Grid-based spatial data where each cell contains a value, often used for climate or land surface variables","Des données spatiales en grille où chaque cellule contient une valeur, souvent utilisées pour les variables climatiques ou de surface terrestre",Pixel-based spatial data format,Format de données spatiales basé sur les pixels,,
Vector Data,Data & Technical Infrastructure,,"Spatial data represented by points, lines, or polygons, typically used for boundaries or locations","Des données spatiales représentées par des points, des lignes ou des polygones, généralement utilisées pour les limites ou les localisations",Map data made of shapes and features,Données cartographiques constituées de formes et de limites,,
Spatial Resolution,Data & Technical Infrastructure,,"The level of geographic detail captured in a dataset, usually measured in meters or degrees","Le niveau de détail géographique capturé dans un jeu de données, généralement mesuré en mètres ou en degrés",Size of the area each data point represents,Taille de la zone représentée par chaque point de données,,
